Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,1.80078125,1.716796875,1.78515625,1.759765625,54070400.0,1.614309549331665
2000-01-04,1.71875,1.6640625,1.703125,1.6796875,38960000.0,1.540850281715393
2000-01-05,1.68359375,1.64453125,1.6796875,1.666015625,24038400.0,1.5283087491989136
2000-01-06,1.7890625,1.65625,1.65625,1.779296875,35760000.0,1.6322263479232788
2000-01-07,2.1015625,1.794921875,1.796875,2.05078125,67779200.0,1.8812710046768188
2000-01-10,2.451171875,2.05078125,2.05859375,2.318359375,61219200.0,2.1267313957214355
2000-01-11,2.32421875,2.0703125,2.322265625,2.1064436435699463,46502400.0,1.9323323965072632
2000-01-12,2.15625,2.03515625,2.13671875,2.087890625,21923200.0,1.91531240940094
2000-01-13,2.20703125,2.09375,2.15625,2.203125,23811200.0,2.021021842956543
2000-01-14,2.259274959564209,2.125,2.2177717685699463,2.15234375,38908800.0,1.9744386672973633
2000-01-18,2.150390625,1.96484375,2.1484375,2.138671875,38672000.0,1.9618964195251465
2000-01-19,2.12109375,1.87109375,2.12109375,1.96484375,81686400.0,1.8024367094039917
2000-01-20,2.046875,1.8359375,2.044921875,1.955078125,39651200.0,1.793478012084961
2000-01-21,2.021484375,1.9375,1.958984375,1.94921875,25081600.0,1.7881031036376953
2000-01-24,2.001953125,1.73046875,2.001953125,1.732421875,51062400.0,1.5892258882522583
2000-01-25,1.779296875,1.640625,1.75,1.76953125,38486400.0,1.623267650604248
2000-01-26,1.775390625,1.6328125,1.775390625,1.6865218877792358,29126400.0,1.5471199750900269
2000-01-27,1.720703125,1.546875,1.708984375,1.55078125,23321600.0,1.422599196434021
2000-01-28,1.59765625,1.443359375,1.5625,1.5302718877792358,44937600.0,1.403784990310669
2000-01-31,1.6328125,1.40234375,1.537109375,1.462890625,23894400.0,1.341973066329956
2000-02-01,1.5234375,1.43359375,1.44921875,1.443359375,31091200.0,1.3240562677383423
2000-02-02,1.53125,1.41796875,1.45703125,1.435546875,40953600.0,1.3168896436691284
2000-02-03,1.47265625,1.3984375,1.46875,1.40625,39974400.0,1.290014386177063
2000-02-04,1.46875,1.41015625,1.4375,1.4609375,34313600.0,1.3401814699172974
2000-02-07,1.748046875,1.453125,1.484375,1.697265625,55174400.0,1.5569753646850586
2000-02-08,1.8671875,1.671875,1.732421875,1.853515625,42739200.0,1.700310468673706
2000-02-09,1.90625,1.6953125,1.888671875,1.716796875,36944000.0,1.5748924016952515
2000-02-10,1.83203125,1.671875,1.7548812627792358,1.729978084564209,31875200.0,1.5869839191436768
2000-02-11,1.76953125,1.66796875,1.732421875,1.748046875,35638400.0,1.6035592555999756
2000-02-14,1.890625,1.75390625,1.7548812627792358,1.876953125,34112000.0,1.7218105792999268
2000-02-15,2.0,1.859375,1.890625,1.984375,52416000.0,1.8203535079956055
2000-02-16,2.125,1.9921875,2.0,2.0,65075200.0,1.8346869945526123
2000-02-17,2.37109375,2.09765625,2.09765625,2.328125,72723200.0,2.1356899738311768
2000-02-18,2.515625,2.208984375,2.28125,2.408203125,75715200.0,2.2091495990753174
2000-02-22,2.390625,2.1328125,2.36328125,2.3408186435699463,44249600.0,2.1473348140716553
2000-02-23,2.4140625,2.3125,2.388671875,2.3671875,25321600.0,2.1715240478515625
2000-02-24,2.43359375,2.2578125,2.39453125,2.29296875,22582400.0,2.1034398078918457
2000-02-25,2.390625,2.09375,2.375,2.2607405185699463,35862400.0,2.0738754272460938
2000-02-28,2.2890625,2.15234375,2.208984375,2.216796875,28585600.0,2.0335636138916016
2000-02-29,2.3984375,2.21875,2.22265625,2.390625,23766400.0,2.193024158477783
2000-03-01,2.541015625,2.369140625,2.369140625,2.4990217685699463,36835200.0,2.2924611568450928
2000-03-02,2.5625,2.39453125,2.5234375,2.4375,16652800.0,2.2360243797302246
2000-03-03,2.58984375,2.4375,2.46875,2.49609375,16841600.0,2.2897753715515137
2000-03-06,2.640625,2.46484375,2.5078125,2.57421875,22163200.0,2.3614425659179688
2000-03-07,2.65625,2.2890625,2.61328125,2.396484375,19222400.0,2.1983988285064697
2000-03-08,2.53125,2.234375,2.5239250659942627,2.310546875,15993600.0,2.11956524848938
2000-03-09,2.375,2.21875,2.34375,2.23828125,14304000.0,2.0532727241516113
2000-03-10,2.31640625,2.16796875,2.28125,2.240234375,18297600.0,2.0550646781921387
2000-03-13,2.21484375,2.083984375,2.150390625,2.1171875,18227200.0,1.942188024520874
2000-03-14,2.3046875,2.0,2.154296875,2.12109375,43184000.0,1.94577157497406
2000-03-15,2.19140625,1.99609375,2.14453125,1.998046875,23276800.0,1.8328951597213745
2000-03-16,2.193359375,2.015625,2.1875,2.06640625,17696000.0,1.895604133605957
2000-03-17,2.1796875,1.9375,2.0234375,1.9921875,18880000.0,1.8275202512741089
2000-03-20,2.15625,1.734375,1.98828125,1.794921875,29299200.0,1.6465595960617065
2000-03-21,1.91015625,1.6640625,1.79296875,1.779296875,48233600.0,1.6322263479232788
2000-03-22,2.015625,1.8515625,1.861328125,2.001953125,17088000.0,1.836478590965271
2000-03-23,2.23828125,2.0625,2.109375,2.17578125,43878400.0,1.9959385395050049
2000-03-24,2.2734375,2.16796875,2.18359375,2.19921875,18467200.0,2.0174388885498047
2000-03-27,2.25390625,2.1171875,2.248046875,2.181640625,17868800.0,2.0013136863708496
2000-03-28,2.3359375,2.17578125,2.23828125,2.201171875,13974400.0,2.019230604171753
2000-03-29,2.34375,2.03125,2.25,2.08203125,21843200.0,1.909937858581543
2000-03-30,2.025390625,1.84375,2.025390625,1.84375,29782400.0,1.6913518905639648
2000-03-31,2.0078125,1.90625,1.92578125,1.98046875,32233600.0,1.816770076751709
2000-04-03,1.984375,1.875,1.921875,1.876953125,19635200.0,1.7218105792999268
2000-04-04,1.919921875,1.71484375,1.8984375,1.8515625,23440000.0,1.6985188722610474
2000-04-05,2.03125,1.79296875,1.8515625,1.9453125,35942400.0,1.7845195531845093
2000-04-06,2.1015625,1.953125,2.052734375,2.0610344409942627,28924800.0,1.8906763792037964
2000-04-07,2.109375,1.96875,2.109375,1.978515625,24265600.0,1.8149781227111816
2000-04-10,2.0390625,1.921875,1.9921875,1.9375,15536000.0,1.7773528099060059
2000-04-11,1.966796875,1.8203125,1.9609375,1.953125,18240000.0,1.7916862964630127
2000-04-12,1.921875,1.75390625,1.91796875,1.818359375,20832000.0,1.6680599451065063
2000-04-13,1.94140625,1.7109375,1.837890625,1.90234375,24284800.0,1.7451027631759644
2000-04-14,1.90625,1.7109375,1.904296875,1.728515625,18460800.0,1.5856424570083618
2000-04-17,1.71875,1.578125,1.705078125,1.58984375,32432000.0,1.4584327936172485
2000-04-18,1.734375,1.568359375,1.6015625,1.708984375,31932800.0,1.567725658416748
2000-04-19,1.7578125,1.625,1.7578125,1.6254874467849731,14256000.0,1.4911301136016846
2000-04-20,1.68359375,1.521484375,1.68359375,1.6015625,20832000.0,1.4691828489303589
2000-04-24,1.625,1.45703125,1.625,1.53515625,8732800.0,1.4082655906677246
2000-04-25,1.578125,1.49609375,1.564453125,1.498046875,17948800.0,1.3742235898971558
2000-04-26,1.53125,1.3984375,1.529296875,1.4375,23382400.0,1.3186811208724976
2000-04-27,1.41796875,1.3515625,1.41796875,1.357421875,20278400.0,1.2452219724655151
2000-04-28,1.69921875,1.390625,1.416015625,1.693359375,31238400.0,1.5533924102783203
2000-05-01,1.76953125,1.5234375,1.689453125,1.7421875,24006400.0,1.5981842279434204
